mtime,AB,AM,AO,AU,BT,BY,CV,D,EH,EX,F,FT,FZ,GI,GT,HK,HT,HY,IK,JT,K,KN,KR,KT,LM,LP,MP,NR,NV,PU,RS,ST,TW,U,WX
2021-11-01T00:00,7230016,7106463,7997298,8473801,7989072,9913463,5910111,5666993,7536609,7953594,7246654,6365021,6836888,7619602,7394933,8269251,6346634,6393538,6297141,6555013,6881791,6968475,7136870,7928808,7536640,8286730,7464890,8179256,5371857,6500527,9427224,6356860,8023242,9458420,8157855
2021-11-01T00:05,6566055,6447285,8964594,8847879,8064722,7650319,6120809,8600924,7575492,7183148,5015861,9107268,8161153,5782113,5633292,7753802,8120148,6518803,7522027,8163234,7001316,6509016,7012652,6027997,9295470,7985116,6560084,5329842,7562282,6677042,8619962,6890943,9062507,8327485,7495145
2021-11-01T00:10,7190863,6882316,7015244,9753281,8204334,7707422,6967796,7527020,7685844,9308705,7482514,6993214,9600926,7760683,6731562,7255299,6035608,8193022,8227262,8300856,8442864,8070263,6123047,9139536,7706441,6905460,6351297,7881199,5511596,7794308,7100185,7274449,5911289,7920091,7217413
2021-11-01T00:15,5882012,6684987,5573672,7933803,6855587,9977630,7166438,7818269,7956448,10145021,8981220,7399162,7867917,7833402,7492568,6954670,8188956,7851578,5356935,7585255,5625603,6250429,7754207,5836273,7264070,7939586,6955261,7461785,7527868,7184072,6428751,7240858,7022224,7083970,7984829
2021-11-01T00:20,8545117,7678604,6583217,9265173,7848878,8202161,5176759,7134996,6082631,5891275,6967259,6974649,6610738,8235639,7829490,8783343,9585371,7345254,5928383,6154746,8787767,7583136,7058047,8670892,7606890,7337148,6953009,6936992,7540877,6983095,7618622,9001939,7127914,7545769,6116204
2021-11-01T00:25,6273455,5865985,7110432,6686655,8195770,6959383,6682275,7372894,6779932,8617249,6168997,7787287,7486816,7111502,6678283,9123281,7757702,7355703,8278592,8796250,6556232,8490577,8721312,6337803,9257500,6868554,9763330,6351674,7515168,6834188,7052945,8210968,7638966,7809835,8193839
2021-11-01T00:30,8750517,6965915,6347778,8340581,7258481,6791965,5538536,6844696,5911883,8226547,6090397,6673369,6789140,5600357,6471165,8957615,6521531,6674560,8704003,7116109,5257812,6451124,7412657,6394504,5742022,4396983,8273250,5592265,8969843,8818077,9142330,5697069,5914657,7754880,7110735
2021-11-01T00:35,9348676,6778432,8329032,6692771,7684961,9084639,7216448,7681859,6449597,8753159,7474931,8707024,7426463,7791711,6746783,8304266,6971750,7806025,6253902,6599437,7913996,7144872,6547855,6853340,7395364,8093693,8452369,7660508,7168194,6731965,6137264,8811779,7915429,6746591,7465085
2021-11-01T00:40,5920422,7171537,7366596,7833699,6996931,7752803,8189942,6097783,5691895,8551089,7240403,7957097,9642836,7772936,9099490,5813111,6794897,7900304,6995510,7832207,5713538,8789552,9178387,4797767,8271347,6957120,8637832,7736365,7154491,6994563,8202415,7120678,10152380,9096573,7278639
2021-11-01T00:45,8631953,7441818,7000877,7225979,6309646,8482498,8200172,8256434,9051921,8778123,6871792,7516935,7611044,8138527,7178790,7438966,7963115,6689251,6985378,5846008,5873826,6845323,8123313,8682983,6881717,7309298,6940596,6910611,5879008,7685588,7912681,8045616,8122664,6418996,7633924
2021-11-01T00:50,7884042,7477953,7581040,8045751,6432426,6935573,8542138,7039146,7330000,6518781,7081223,8949820,10337855,7426007,7579365,6899182,7300620,8189612,8045499,7985006,8452307,6225866,9227007,8396624,10046487,7622720,6241815,7741790,7576935,7726477,6222578,6415073,8137898,6627652,7105789
2021-11-01T00:55,8502261,5994117,7513601,8319383,7549410,8522161,8527746,7275120,6720227,9000335,7152106,8204884,7416637,7953432,7097138,7460282,7375720,8557499,6613075,6988429,8446340,7832950,7750510,6768768,6878070,7863869,10264827,6570132,7122160,6706900,7181774,7110585,5995379,6813892,8846990
2021-11-01T01:00,9507866,7148547,9063202,6678174,5872616,8908369,8271424,7317966,8425641,7196543,8346433,8293351,7138686,8411325,6254083,6801026,8373157,8211077,5880665,6282776,7112621,7165230,7512820,7108995,8763347,6906477,8044623,5870432,5593109,6010698,7688165,5940215,8899053,6089363,6265659
2021-11-01T01:05,9303630,8365337,5389837,7046466,7727154,7338882,8390679,7576935,8211005,6764161,7766456,7536984,5891969,7422340,7565894,7676768,7783446,6580551,6435210,7433062,6266129,5004430,5440892,8510320,6006478,8771972,7639129,8075768,6421019,7136251,6779840,7240892,8041813,7583904,5398423
2021-11-01T01:10,9992417,5360636,7761439,5404390,8346349,5768413,8043718,6992359,5969730,7212036,6883058,6939869,8770453,7863090,8008123,8691014,6452823,7633311,9419538,7741794,7491596,6644159,7931922,5985278,7938743,7004392,8020655,7287572,7322549,6824563,4957772,6361924,6830431,7323865,8535575
2021-11-01T01:15,6748094,5410584,9762325,7664514,6481411,7592239,6533208,8786011,7604823,6951666,8560840,5208551,6664978,6968665,7715896,6494635,9088544,7461873,8043837,7444095,9747545,8250104,6525781,6173569,8808709,6488394,6848185,5568486,5622604,6405066,7296115,7608388,8157129,8166950,6450890
2021-11-01T01:20,6848219,5403913,9388989,7358844,7939723,7342247,6482119,4852275,5889127,9510205,5158370,6335109,8690491,8156014,5843551,7098932,7396117,8491554,7584390,6486266,8100522,6603596,7175930,8113331,6376949,6656795,6221486,7052614,11433025,6972691,7789569,7545343,7654349,7632384,7300988
2021-11-01T01:25,9069885,9481503,5871785,7429574,7121767,7036322,7714684,6115270,9231238,6146773,5911194,8436909,6773234,6859743,7384721,7021510,7879217,6683557,7893739,6670647,8033923,6197955,8024181,6701430,6689889,6656103,7022019,7423101,6437783,5534164,9594580,7508216,8408628,7275461,5554988
2021-11-01T01:30,7623388,9163002,5718003,6322575,6116132,6926103,7954159,5426345,7291636,7885683,8056833,9093032,7148095,6172777,5431656,7149898,8670317,7573519,8183702,7564615,8298112,7947323,6279038,6932343,6860255,7950429,7114138,6858706,7567347,8123158,8366127,5830971,8351020,4842776,5962475
2021-11-01T01:35,6614242,5660667,6832686,7046854,6994028,6195785,6876352,7003274,7401767,7514153,7053589,8064225,6776193,9167958,8147901,7548985,7918839,9332676,8434926,7685014,5497693,6306881,6878334,7418981,6558488,8961590,6703339,7759927,10159975,8531482,8942296,6673715,7336609,6949389,8462578
2021-11-01T01:40,6071596,7374798,7474308,9094693,8490082,9018487,6230017,7715465,5972965,6670376,6852391,8603641,5901779,6257737,6001525,7157595,7008061,6542846,5914256,8820965,8288050,7911354,7829609,6954316,5421824,8082574,5932960,6408670,6948623,6405189,9691878,8079585,7294141,7317715,6677333
2021-11-01T01:45,6408156,7157401,8209431,8043768,8431149,7531337,6909895,7006321,9181788,6818837,7127055,7221797,6999625,7947785,7829179,6760695,9671924,6766304,8797347,8990848,6104870,6299432,6187485,6053778,7524895,10965627,7501294,6296278,7507623,7554061,6406577,8726427,7494424,6987449,8759342
2021-11-01T01:50,7614196,7929963,7039541,6430608,7939226,7038337,6417934,8956041,8576437,8429873,8759777,6801877,8144269,6859820,7009700,8700450,8305794,6484613,5457871,7204241,5599348,6325218,7249547,7388673,7946461,5935757,8944039,5341973,7812011,6774461,5987500,6652524,6941918,8095249,5592168
2021-11-01T01:55,7711648,6948563,7734006,7151739,7131360,7960483,6098285,6939233,7934020,6818187,8538846,7113062,7662064,7167736,7121140,7387312,6963314,6450767,6324548,6594571,8716044,5725863,5494901,6982955,6831281,7654530,5514823,6078585,8460315,6635554,7697262,5802140,7332459,6417147,7303812
2021-11-01T02:00,8392004,8987104,7532930,7340613,7772145,9273023,6077868,5619445,6004050,8489611,7220372,9188339,7845118,5796228,7521484,8481042,6598493,7870567,5721879,7729072,8719450,5747389,8078542,8970021,6609875,6704035,7396490,7307553,8586128,7278267,6725160,8446379,9010055,7106585,6182653
2021-11-01T02:05,7457214,8360125,7013990,4270421,7035541,5902119,7445678,7489992,9194278,8296089,5448879,6838482,7707352,9972142,8119398,7238811,6330120,8663765,7604038,8538932,8614865,8829394,7117981,8024583,6457672,7682161,7978397,7458109,8494507,7481302,9156298,6189090,7061593,8617541,9315072
2021-11-01T02:10,7165914,8443402,7573175,7336064,8781086,8133588,7965639,7201406,7490232,6161967,8045074,6543011,6167803,9695111,6603507,7024917,6590662,9729290,7568479,5532229,6523266,6491369,6678692,7913024,5962420,7548822,5778590,7156046,7621684,8516021,5687475,7226432,8828036,7357143,8197629
2021-11-01T02:15,6783505,7221153,7594186,6592097,6804557,6588076,6213649,6884846,8007117,7502839,7026956,8629208,6838301,7399347,7218119,9657282,8058329,7691872,6178032,7997180,9663276,9849808,7803651,8478396,8013203,8509849,8367480,6237586,7785090,6284936,7144579,6605732,6321196,6575730,7400344
2021-11-01T02:20,6290044,6765817,8562560,7203091,7228872,6931662,8500246,7791064,7320195,7232696,9679891,6759136,7553013,7921129,8085857,8519572,7900788,6756845,7960668,7282521,8104205,8277770,9137975,7416300,7942825,8166617,10393382,8566567,7108927,6576408,6981733,8961143,7428084,8988708,9492386
2021-11-01T02:25,7921339,8191930,9869976,7442264,6287485,7276928,6900094,5801111,7309350,7043210,7835132,6808712,7297430,7655142,6892842,7680190,6968327,7436761,7382324,9176480,7378770,7264912,8973024,8745624,6306839,6153517,5874205,7779863,7495795,6382692,5781748,5601999,7750048,7966130,5185513
2021-11-01T02:30,9554328,7311511,5587934,7097407,7819771,8210968,8504861,7028734,6764117,7069887,7836601,5500956,9007111,6577987,7341785,8048974,8655932,7508561,7767970,6729237,8370060,6394635,6648454,8428495,6105745,8326961,7029332,7648896,6673038,7809670,6210368,9763733,8100972,7546692,8337851
2021-11-01T02:35,9258267,6709237,6369801,8409855,5262798,6136898,7260505,6897834,6179307,9336676,9682986,8340154,6312421,6045987,6691815,8423071,6946080,6172301,7626739,7429811,6950823,6979557,6977427,7533729,10205022,7307921,6870485,6047301,6682478,6791133,6064801,7886840,7453474,7197987,7412689
2021-11-01T02:40,8092453,8372457,6244918,6405048,6804092,7873719,6430146,7707028,8192812,7226335,5837156,6297841,7260497,5571891,7174423,7785688,7294082,7459347,10697039,7046167,8025100,7678799,9117216,6559441,8107177,6456779,6871642,10029468,6153105,6309612,8344392,8465691,5411586,6944274,6328974
2021-11-01T02:45,7743703,7841398,6301235,6762701,7325938,7695314,7394441,8937982,9615605,6391668,6253848,8143752,7488848,8382684,7625441,6476936,6417858,8009932,6085097,7084378,9273896,6015491,7582480,7950388,7737673,9928761,7792973,8378671,7333970,6020209,6966446,9340042,7048527,8380946,5047219
2021-11-01T02:50,7098820,5978465,6300694,8276618,8955957,7722778,8652713,7370295,7107908,7097251,6740218,8334826,6047997,7470986,7532262,6866845,9199109,6813183,7043495,6808766,5441536,6798984,6920237,8185740,9137106,7821402,6021242,7103094,8075865,7958388,7910573,7216399,7862742,6856351,7854134
