site_name,bandwidth
29,13884967
59,13428754
78,12665544
AB,14781067
AX,14122460
Ab,13588184
Ad,13831440
Ag,13070030
Am,13372704
Ax,13772344
BF,13883677
BM,14831170
BO,14036437
BW,14232884
Be,14260767
Bh,13787024
Bi,13425014
CZ,12997420
D5,13237627
Ds,14135767
E3,13804114
E9,13694577
ER,14897974
EY,13490594
Ef,13490647
Eg,14109537
FL,14672724
FP,13084160
FZ,14703450
Fa,14079350
Fe,12942667
Fg,13555504
Gb,13082904
Gq,13356194
Gr,13460834
Gw,13580587
H2,13846017
HN,14532970
HY,14070320
Ha,14472594
Hk,14213857
Hl,14182834
Im,13589804
J6,14053860
Jr,13774524
Kg,12979057
Kp,13322580
Kt,13547780
L9,13575490
Lg,14133867
MN,14391650
Nt,13424350
OP,13760287
Of,12832380
Ou,13877200
Ow,13202937
P4,12991994
P8,13533207
Pl,13546817
QY,14444934
Qs,13536524
Qw,13684297
Qz,12904817
R5,14448294
RS,13347784
RT,13009390
RU,13810674
Re,13931724
Rf,14511747
Rh,13377017
Rm,13929640
S6,13833904
Sm,14450647
Su,13072144
TZ,12812164
Tc,14395450
Ts,13151707
Tt,14119750
Tu,14205650
Uv,12874930
Vc,14289620
Vr,14881097
Wa,12753924
Wl,13819664
Xm,13746310
Y1,14628594
Y7,13364980
Yp,13599564
Zo,12857570
Zs,14060160
Zt,13873697
a7,13577860
a8,12528847
ag,13496384
av,14499384
be,14084897
bo,13721524
c9,13765010
d2,15179764
de,14643110
dl,13881974
eg,13562254
ei,14324100
ej,14737164
f4,13391454
fo,14195644
fw,12799114
gj,15505600
gu,13005694
h1,13698294
h9,14322824
hx,13592817
iz,14309794
jl,13580834
jo,13724594
jq,14320334
jw,13916907
km,14053077
l3,13709674
mn,14102530
mx,13175420
nz,14292434
o3,14068377
p3,13209587
pq,13548797
pv,13773900
px,12795237
q3,13321080
qs,13365750
r4,14225964
s8,14121960
t5,14495717
t6,13586727
v8,14152064
w9,13759727
