site_name,bandwidth
28,4125295
39,4264732
56,4756452
58,4189129
79,4396255
A2,4365823
A4,4270093
AB,4392578
Af,4411426
Ar,4715793
Aw,4755693
B8,4467550
BC,4610616
BI,5046568
BO,4556132
Bb,4256949
Bg,4377063
Bl,4937072
Br,4768986
Bs,4552119
Bu,4229189
CG,4400528
CL,4115476
CT,4052716
CU,4189842
Ca,4760596
Cq,5359696
Cs,4872850
D3,4147768
D6,4677092
DF,4380895
DL,4179076
DO,4579988
DZ,4634668
E6,4401165
E9,5633429
EF,4460423
El,4113911
Er,4354486
Ex,5312973
Ey,4109859
FJ,4630196
FL,4150579
FN,4533989
FP,4286276
FQ,4143002
FW,4447425
FX,5096109
FZ,4272872
Fb,4825743
Fc,4152656
Fj,4149508
Fn,4531316
Fr,4576960
GJ,4802675
GM,4563838
GN,4598813
GW,4296578
GZ,4968196
Gf,4906815
Gj,4079403
Gl,4079715
Go,4411925
Gp,4639969
Gq,4162509
Gr,4112489
HR,4183411
HU,4646783
HV,4467843
HW,4012548
HZ,4513560
Hb,4748885
Hg,4625970
I2,4381706
I3,4695332
I4,4252020
I5,4267272
I7,4669142
I9,4726605
IT,4060659
IY,4841860
IZ,4731512
Ib,4384809
Id,4582193
Ik,4400566
Ip,4125426
Ir,4735080
Is,4321366
Ix,4725295
Iz,4203950
J4,4095496
J6,4110369
JM,4499756
JN,4297860
JQ,4540765
JV,4262418
Jb,4728128
Jc,4245206
Jf,4407950
Jg,4858675
Jn,5046106
Jo,4449989
KN,4662929
KW,4516513
Kn,4551060
Kv,4753543
Kw,5130235
Kx,4654893
LO,5415719
LS,3974905
LW,4871086
Lc,4476110
Lf,4289870
Lw,4212600
Lx,4683245
MP,4495435
Mf,5109689
Mh,4158421
Mj,4544328
Mt,4491400
N6,4468325
N8,4376282
Ni,5255078
Nr,4968849
Ns,4901696
O1,4390270
Ol,4466943
Ou,4210082
Ox,4841862
P4,4302456
P5,4342902
P7,4675603
PS,4956499
PU,4272800
PX,4589408
Pf,5167530
Po,4560132
Q1,4742246
Q3,4290485
Q4,4952730
Q8,4566672
QR,4549303
QY,4207969
Qg,4734975
Qi,4284390
R1,4852092
R3,4187728
R6,4851593
RY,4805862
Rb,4452719
Rd,4214883
Ri,4879778
Rk,4102343
Rp,4308845
S4,4362956
S7,4138888
SV,4473555
Sf,4622826
Sk,4527316
Sv,4603613
Sy,4401862
TV,4597266
TW,4558753
TY,4305836
Te,4256396
Tf,4301048
Tg,4588109
Th,4282883
Ti,4078176
To,4459996
U4,4503183
U5,4344312
Uc,4073319
Ud,4745778
Uf,4690048
Ui,4847135
Uu,4956975
Va,4895360
Vg,4546419
Vm,3873346
Vr,4703536
Vz,5607230
W3,4702848
Wg,4461940
Ws,4797649
Wv,4373906
X2,4644509
X6,3977616
X8,4461068
XZ,4405288
Xl,4209258
Xq,4415533
Xt,4616336
Xv,4786728
Xw,4519070
Xx,4748065
Y1,4180823
Y5,4136162
Y9,4670538
YZ,4761299
Yd,4492252
Yl,4558429
Yn,4681406
Yy,4049606
Z5,4710998
Z7,4591072
Zb,4524058
Zm,4284125
Zr,4567742
Zw,4526219
Zy,4414125
a5,4158263
a6,4626413
ai,4265332
aj,4678346
am,4700859
b3,4405783
b5,4419983
b8,4119936
be,4923975
bz,4549385
c7,4528945
c8,4549395
cd,4573312
cj,4155346
ck,4583359
cs,4125891
dj,5132505
dm,4382715
dr,4480392
dt,4615049
e5,4782375
e8,5145596
ek,4119718
eu,4406386
ew,5132392
ey,4527506
f1,4721975
f2,4361589
f4,5016295
f6,4579343
g6,4439198
go,4663255
gs,4164365
gx,4687432
gy,4235498
h1,5364499
h2,4528480
ho,4577772
hp,4059908
hw,4671090
i4,4692245
i8,4717506
iq,4284639
iz,3800995
j1,4434859
j3,4298808
jw,4326379
jx,4138583
k3,4437232
km,4673363
ks,4644998
ku,4657063
l1,4472568
l2,4760979
lm,4506383
lu,4585506
lw,4253736
ly,4979963
m9,4757868
mo,4187428
mq,4953055
mz,4865072
n7,4058581
n9,4577165
no,4225976
nu,4641016
nw,4532832
o8,4751038
ox,4272818
px,4496709
q5,4182219
qw,4806836
qz,4645898
r5,5415806
rt,5735462
s7,4505883
sy,4160366
t1,4583229
tv,4336803
u2,4482179
u8,4154396
w2,4743208
w9,4190253
wy,4460645
y4,4219363
y9,4183168
z3,4509402
z4,4547378
z5,4452963
