mtime,AK,AS,BE,CS,CT,CU,CY,DH,DJ,DK,DP,EZ,FJ,FP,FR,GL,GP,GT,GV,I,JT,JX,KO,KU,KW,KY,KZ,MR,N,NX,NZ,QS,QX,RS,SW
2021-11-01T00:00,8882770,6608266,8649635,7741902,7765800,6874783,6537694,7113501,6667153,9925748,8896888,8598639,6778033,9158096,7960118,7027469,6309198,8026176,6942009,7366188,7415853,5976699,8444202,9378579,6264153,6557775,6579912,6094339,7761431,6139806,5218320,7122035,7271006,6816039,7065747
2021-11-01T00:05,6956618,6755795,7852615,7087633,6522723,7868178,6644108,7869527,6492531,6856054,8558010,8903720,8471043,6939385,7069788,8956513,5803905,7155784,7271762,6479316,8236613,7549429,6899786,6446878,8638551,8044499,9279042,6592208,9503168,9084735,7042059,8672689,7509915,7294790,8678480
2021-11-01T00:10,6468250,7784100,6696400,5749920,5087684,5743821,5885957,6742915,8090843,7722439,7712098,7023437,6770366,7038377,6889413,5802020,8731981,7417762,6788014,7539749,7515923,7911351,8282722,7249360,7483638,8443598,6476104,5465489,6746615,6237820,9179131,8512984,7842885,7705520,6427892
2021-11-01T00:15,8992738,6654708,7970545,6683516,8193528,8434333,8236219,8771134,7413918,7738998,6809985,6146458,6577374,7005284,6850947,7363253,7711285,6940903,6824430,6849518,8045578,5900195,9241084,8245401,7593382,8918689,6346362,7428455,5830597,8112616,7945982,8023200,6375614,6196673,5393472
2021-11-01T00:20,7438297,8066132,5705258,7949634,8057275,7640979,7143692,8829629,8203984,6616472,7931422,6782836,8373640,7026411,7155317,6895012,6587731,7363831,7210071,7699321,6101080,8268581,7261392,5652165,6470515,7258335,5645891,7840697,6482120,7108433,7380903,7565292,8499504,7247129,7640122
2021-11-01T00:25,7427087,7779818,7641783,7078539,7981911,8899650,6577445,4729160,7465925,6307086,7037572,5826962,5215720,7116574,8035452,6718002,8197624,7465984,6334246,8210221,5920355,8072797,7159614,6956432,7525123,5352781,7120444,7044421,7724151,7329144,7670164,7035248,7786017,7536554,6718991
2021-11-01T00:30,10284039,7660225,7915913,7704453,7213687,6662380,6746908,5682302,7488746,6603554,6287142,8995108,6570402,5856971,6675960,7768888,6087957,6327095,6873928,5598213,7634361,6863506,8449404,6831063,7980550,7424444,8082374,7533493,9051404,6554598,6634798,7462716,7601390,8061143,4984659
2021-11-01T00:35,9170304,7516321,10125316,6162616,7002656,6747411,8200441,7579053,6752589,7837412,5676379,7780354,6461629,7442850,9499270,8699453,5659392,6626415,5242549,6355030,6497825,8949814,8039103,7787393,7221283,7641428,8466709,7823924,6498420,6251544,8288912,7328749,6801717,6973320,6060518
2021-11-01T00:40,6146293,5994303,7913935,6882365,7267429,6847638,8826501,5702678,8226320,7551251,6578319,7038694,7374465,7406882,6895179,6124357,8188374,7607943,8206925,6277264,8277269,6290352,7446208,8400049,6343235,7476819,7743151,6997352,7502733,8690996,9050554,6065557,8554560,6468938,8612225
2021-11-01T00:45,9759905,7728893,6265289,5585094,7228769,6567115,8373440,8479986,7602749,5749427,9597270,8624619,8021105,7533749,7235976,9032884,6471028,6534634,5363886,7718062,8966937,6871079,6485155,7390312,7473198,7798570,7387690,7917003,6428652,5598132,6226045,7177426,5932290,6518847,6536420
2021-11-01T00:50,8239537,5810585,7951348,6562723,6225353,9040161,6587133,8603689,7741695,8151686,7557547,6864569,5583936,8325596,6034114,6872327,7749310,7541051,6537724,6196958,6592402,7689900,6880377,7417832,6947817,8811400,8499395,7471266,7493686,7821711,7576883,7258374,5971529,7893358,7705065
2021-11-01T00:55,7936487,9414682,6759580,7194378,7814194,8480454,9005300,8049483,9266353,6764618,7376810,7012322,7366032,7372993,7655200,8361720,8554374,5492423,8875858,8667330,8971126,7923029,7360600,8639910,6959847,7753823,7787965,6831779,6676450,6628203,7044583,7563372,7645693,7886092,5005950
2021-11-01T01:00,8081890,7565660,7357253,9244317,7701331,8461158,7560290,7968725,6420460,5267622,8052352,6591556,7144767,6661643,6437063,7874539,7921492,6031847,8581033,8210447,5232703,6699510,8516922,7713832,6378210,5290164,7713214,7384718,7375250,5296608,7052843,7413975,6389873,7513544,7463629
2021-11-01T01:05,6578513,6737465,8939101,8531156,7269622,8135060,6692101,7426380,7042051,5600709,7058172,6764188,6899162,9007970,9115962,6559461,8838759,8079816,9161591,6856418,7337060,7945426,7819071,7699786,6834976,6425686,7769423,8633759,7055659,6965009,6999194,8002802,6101160,5396502,7508333
2021-11-01T01:10,7405022,6763185,7641499,6454523,7561321,6475674,6676218,7759488,5648278,7998563,7260640,7710335,6426058,6707628,7649048,8083807,6481940,6978106,7683054,7246601,6635956,7452505,7151459,7460470,8704903,6349560,6962370,6911284,5577975,7015274,7181943,7838831,6227188,6455901,6627296
2021-11-01T01:15,7717414,7666267,8874123,6727475,7026347,6622368,6693897,7921239,7123294,7429490,7654779,9507215,7113437,8013499,6803707,7140661,8597916,6482895,7518997,4444087,6656139,9217942,6582368,7229100,6231870,6172890,9103542,8154418,8067302,7697346,8329210,7283059,6124803,7066430,8318473
2021-11-01T01:20,8170336,6948691,6952848,6113308,6713831,6702751,8008095,7155891,7597284,8638778,9748434,7907514,6584930,7085834,7918007,8288776,7880006,7165498,9180593,6755657,7324464,9563729,7082722,7982000,6447247,7640418,8117365,5487782,6315220,8386603,7523709,7907786,6788290,6161859,6101993
2021-11-01T01:25,8134057,8558740,7034630,7992830,5868150,8341861,9844911,7976749,7099346,8307092,6716537,7522622,7709093,6555772,7706264,7132321,7222943,9622704,6494475,9212823,6749356,7093286,9722436,7244133,6228525,7706793,7236534,7580727,7222234,8861044,6608845,7826559,5690922,9391141,7162377
2021-11-01T01:30,9169682,5825630,7740232,5636165,7153449,6435058,6211547,7622817,6142030,7534168,5666841,8487364,7911045,6120064,6683140,7220061,7728322,6795101,7717698,6865357,8393789,5675024,7654602,8884532,7321556,6713309,7136699,6728367,7237790,7490733,7860577,7770644,7446427,7009514,8651494
2021-11-01T01:35,7441545,9191927,7096574,8016369,6419248,7616047,7297154,8443724,6218741,6448508,7616517,8658756,8027397,6820150,7774050,8331947,6871643,7735034,8253756,7962426,9081204,5713275,8854258,7288359,8074127,6552256,9083313,4754333,8748698,7769824,6704514,6821488,9882929,6480220,7676806
2021-11-01T01:40,8086001,5855591,7135174,6454688,7462141,5865217,7186369,7675492,7371393,7680440,7761517,5978660,7296402,8020390,8024280,5196071,5675043,7185945,6224854,6729063,6113802,6849766,5808544,6421578,6254439,9064825,7356787,7924651,7435071,7548612,8606003,7308827,6938233,8750460,8061312
2021-11-01T01:45,5373806,4830187,5931176,7134383,7673619,9052227,6439548,5840847,6741536,8194887,8101829,8532409,6424644,5137468,8986581,7965941,7131017,6647119,8101267,6784500,6218567,8476988,7983651,8733200,7022986,6257872,7065410,7056447,6783376,6473987,5909058,6446497,7487131,9986941,8393164
2021-11-01T01:50,7321386,7239579,7476402,7456226,5652474,6239312,8465740,8290073,9244217,7348559,7315164,7237657,7409406,6350251,8302351,7061763,7918213,7644432,8409511,7648304,9268596,7381829,4553555,5892678,7452810,5533606,8803490,6765330,7554001,7836637,7901002,7780591,9070602,4993465,5981655
2021-11-01T01:55,7950316,8006966,7055775,8350876,6762574,7657256,7321640,7221986,8711601,8754415,7094393,7540191,6523280,7858539,6743008,5579508,5901089,7834128,5757169,5493008,7395709,7478804,6523303,7228718,8889037,7466296,6697478,7833357,8711935,8605157,5659943,7817336,8096830,7629933,6443210
2021-11-01T02:00,6443935,6917658,6554381,8054576,8115056,8182226,9298130,8035964,7512446,8813033,7429176,6646761,6243175,7007833,7379416,7510316,7848085,7345558,8212702,6685087,8548986,6510557,6260658,8566796,5753133,6412859,7268905,5172238,8354255,6680486,6793376,6612442,8098814,8987614,7548970
